CUSTOMER_PLACE_ORDER_DATETIME,PLACED_ORDER_WITH_RESTAURANT_DATETIME,DRIVER_AT_RESTAURANT_DATETIME,DELIVERED_TO_CUSTOMER_DATETIME,DRIVER_ID,RESTAURANT_ID,CUSTOMER_ID,DELIVERY_REGION,IS_ASAP,ORDER_TOTAL,DISCOUNT_AMOUNT,TIP_AMOUNT,REFUNDED_AMOUNT
9/15/2024 3:00:21,9/15/2024 3:00:21,9/15/2024 3:17:32,9/15/2024 3:30:05,25893694,11000,603599934,San Francisco,TRUE,$67.39,$12.50,$4.00,$0.00
9/15/2024 4:48:53,9/15/2024 4:48:54,9/15/2024 4:57:36,9/15/2024 5:13:49,24970135,11000,1314467795,San Francisco,TRUE,$36.35,$0.00,$0.00,$0.00
9/14/2024 18:45:28,9/14/2024 18:45:28,9/14/2024 18:52:29,9/14/2024 18:59:31,32358084,11000,9668544,San Francisco,TRUE,$22.42,$0.00,$2.50,$0.00
9/15/2024 2:09:02,9/15/2024 2:09:03,9/15/2024 2:15:06,9/15/2024 2:31:59,29614391,11000,366253048,San Francisco,TRUE,$29.98,$0.00,$5.50,$0.00
9/15/2024 0:47:58,9/15/2024 0:47:58,9/15/2024 1:09:59,9/15/2024 1:18:51,32210938,11000,516638876,San Francisco,TRUE,$21.04,$0.00,$2.00,$0.00
9/15/2024 1:32:03,9/15/2024 1:32:04,9/15/2024 1:44:39,9/15/2024 2:10:17,32859852,11000,33727397,San Francisco,TRUE,$21.99,$0.00,$0.00,$0.00
9/15/2024 0:28:22,9/15/2024 0:42:06,9/15/2024 1:01:26,9/15/2024 1:23:16,36470082,11000,21216901,San Francisco,FALSE,$26.88,$0.00,$4.50,$0.00
9/15/2024 0:46:45,9/15/2024 0:46:45,9/15/2024 1:01:21,9/15/2024 1:25:45,36667398,11000,81213559,San Francisco,TRUE,$84.40,$0.00,$10.50,$0.00
9/15/2024 2:03:05,9/15/2024 2:03:05,9/15/2024 2:17:05,9/15/2024 2:53:50,15436109,11000,1100763019,San Francisco,TRUE,$38.21,$0.00,$6.50,$0.00
9/15/2024 0:48:10,9/15/2024 0:48:11,9/15/2024 1:00:22,9/15/2024 1:27:41,2381519,11000,670419010,San Francisco,TRUE,$37.19,$2.00,$0.00,$0.00
9/15/2024 1:10:42,9/15/2024 1:10:42,9/15/2024 1:22:00,9/15/2024 1:32:34,36468646,11000,559622327,San Francisco,TRUE,$25.07,$0.00,$3.00,$0.00
9/15/2024 4:53:06,9/15/2024 4:53:06,9/15/2024 5:02:02,9/15/2024 5:22:19,32980769,11000,1563883846,San Francisco,TRUE,$52.95,$4.99,$9.50,$0.00
9/14/2024 23:45:06,9/14/2024 23:45:07,9/14/2024 23:56:06,9/15/2024 0:15:20,29229979,11000,967363812,San Francisco,TRUE,$43.22,$17.99,$3.00,$0.00
9/15/2024 0:31:35,9/15/2024 0:31:36,9/15/2024 0:44:57,9/15/2024 0:58:17,16403692,11000,423900248,San Francisco,TRUE,$34.08,$0.97,$4.50,$0.00
9/14/2024 20:24:57,9/14/2024 20:24:57,9/14/2024 20:39:45,9/14/2024 21:07:38,36119301,11000,54642119,San Francisco,TRUE,$43.17,$0.00,$7.00,$0.00
9/15/2024 5:06:09,9/15/2024 5:06:09,9/15/2024 5:15:44,9/15/2024 5:28:26,36212735,11000,850448387,San Francisco,TRUE,$27.45,$0.00,$4.00,$0.00
9/15/2024 1:24:56,9/15/2024 1:24:56,9/15/2024 1:43:28,9/15/2024 2:10:40,30583358,11000,15529456,San Francisco,TRUE,$32.60,$5.00,$5.00,$0.00
9/15/2024 4:48:13,9/15/2024 4:48:13,9/15/2024 4:55:51,9/15/2024 5:08:30,34901264,11000,119259406,San Francisco,TRUE,$29.47,$0.00,$5.50,$0.00
9/14/2024 23:43:42,9/14/2024 23:43:43,9/14/2024 23:55:46,9/15/2024 0:11:16,23974863,11000,511820662,San Francisco,TRUE,$27.41,$0.00,$5.50,$0.00
9/15/2024 3:34:42,9/15/2024 3:34:42,9/15/2024 3:40:51,9/15/2024 4:02:10,36754432,11000,71682341,San Francisco,TRUE,$19.88,$0.00,$0.00,$0.00
9/14/2024 20:08:38,9/14/2024 20:08:38,9/14/2024 20:36:30,9/14/2024 21:01:59,28950257,11000,1770526947,San Francisco,TRUE,$23.38,$5.78,$0.00,$0.00
9/15/2024 1:03:40,9/15/2024 1:03:40,9/15/2024 1:11:22,9/15/2024 1:35:15,36754432,11000,730040255,San Francisco,TRUE,$27.67,$0.00,$5.50,$0.00
9/15/2024 2:30:32,9/15/2024 2:30:32,9/15/2024 2:36:33,9/15/2024 3:17:50,36754432,11000,21555430,San Francisco,TRUE,$23.87,$0.00,$3.00,$0.00
9/14/2024 17:58:50,9/14/2024 17:58:50,9/14/2024 18:10:41,9/14/2024 18:34:08,29178215,11000,1122594345,San Francisco,TRUE,$36.15,$4.00,$5.00,$0.00
9/15/2024 2:21:44,9/15/2024 2:21:44,9/15/2024 2:49:13,9/15/2024 3:00:06,24908409,11000,1188993813,San Francisco,TRUE,$38.14,$3.00,$5.50,$0.00
9/15/2024 0:50:49,9/15/2024 0:50:49,9/15/2024 1:10:00,9/15/2024 1:26:34,27279255,11000,1297306273,San Francisco,TRUE,$52.38,$0.00,$7.00,$0.00
9/15/2024 4:40:21,9/15/2024 4:40:21,9/15/2024 4:47:43,9/15/2024 5:07:00,36329334,11000,119259406,San Francisco,TRUE,$29.47,$0.00,$5.50,$0.00
9/15/2024 0:52:03,9/15/2024 0:52:03,9/15/2024 0:59:51,9/15/2024 1:16:45,28294210,11000,90968048,San Francisco,TRUE,$52.97,$0.00,$6.50,$0.00
9/15/2024 0:04:40,9/15/2024 0:04:41,9/15/2024 0:21:12,9/15/2024 0:33:39,21127217,11000,9618104,San Francisco,TRUE,$44.69,$0.00,$7.00,$0.00
9/14/2024 21:53:45,9/14/2024 21:53:45,9/14/2024 22:04:33,9/14/2024 22:18:27,36541395,11000,470319276,San Francisco,TRUE,$22.65,$0.00,$1.50,$0.00
9/15/2024 3:28:56,9/15/2024 3:28:56,9/15/2024 3:43:58,9/15/2024 3:51:49,29581550,11000,934320679,San Francisco,TRUE,$30.90,$1.99,$2.50,$0.00
9/15/2024 3:34:24,9/15/2024 3:34:24,9/15/2024 3:40:51,9/15/2024 3:53:55,36754432,11000,15765474,San Francisco,TRUE,$26.65,$0.00,$5.00,$0.00
9/15/2024 2:46:52,9/15/2024 2:46:52,9/15/2024 2:57:16,9/15/2024 3:09:03,36828872,11000,24864379,San Francisco,TRUE,$27.71,$0.00,$4.50,$0.00
9/15/2024 0:11:35,9/15/2024 0:11:35,9/15/2024 0:21:19,9/15/2024 0:44:53,24676942,11000,68537541,San Francisco,TRUE,$32.38,$0.00,$4.54,$0.00
9/15/2024 1:37:50,9/15/2024 1:37:51,9/15/2024 1:58:40,9/15/2024 2:10:13,18554536,11000,12965952,San Francisco,TRUE,$48.83,$1.46,$4.50,$0.00
9/14/2024 21:53:52,9/14/2024 21:53:52,9/14/2024 22:10:32,9/14/2024 22:25:56,29153066,11000,931303483,San Francisco,TRUE,$42.12,$0.00,$4.00,$0.00
